id,emotion,en,kn,mr,tTa
p001,joy,"I am so incredibly happy right now!","ನಾನು ಈಗ ನಂಬಲಾಗದಷ್ಟು ಸಂತೋಷವಾಗಿದ್ದೇನೆ!","मी आता अविश्वसनीयपणे आनंदी आहे!","நான் இப்போது நம்பமுடியாத அளவிற்கு மகிழ்ச்சியாக இருக்கிறேன்!"
p002,joy,"This is the best news I've heard all week!","ಈ ವಾರ ನಾನು ಕೇಳಿದ ಅತ್ಯುತ್ತಮ ಸುದ್ದಿ ಇದು!","या आठवड्यात मी ऐकलेली ही सर्वोत्तम बातमी आहे!","இந்த வாரம் நான் கேட்டதிலேயே இதுதான் சிறந்த செய்தி!"
p003,joy,"My heart is bursting with happiness!","ನನ್ನ ಹೃದಯ ಸಂತೋಷದಿಂದ ಸಿಡಿಯುತ್ತಿದೆ!","माझे हृदय आनंदाने भरून आले आहे!","என் இதயம் மகிழ்ச்சியால் வெடிக்கிறது!"
p004,joy,"Winning this feels absolutely amazing!","ಇದನ್ನು ಗೆದ್ದಿದ್ದು ನಿಜವಾಗಿಯೂ ಅದ್ಭುತವಾಗಿದೆ!","हे जिंकणे खरोखरच आश्चर्यकारक वाटते!","இதை வென்றது முற்றிலும் அற்புதமாக உணர்கிறேன்!"
p005,joy,"I can't stop smiling, I'm just so thrilled.","ನನಗೆ ನಗು ನಿಲ್ಲಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ, ನಾನು ತುಂಬಾ ಪುಳಕಿತನಾಗಿದ್ದೇನೆ.","मी हसणे थांबवू शकत नाही, मी खूप उत्साही आहे.","என்னால் சிரிப்பதை நிறுத்த முடியவில்லை, நான் மிகவும் பரவசமடைகிறேன்."
p006,joy,"You've made my entire day wonderful.","ನೀವು ನನ್ನ ಇಡೀ ದಿನವನ್ನು ಅದ್ಭುತವಾಗಿಸಿದ್ದೀರಿ.","तुम्ही माझा संपूर्ण दिवस अप्रतिम बनवला आहे.","நீங்கள் என் முழு நாளையும் அற்புதமாக்கிவிட்டீர்கள்."
p007,joy,"What a delightful surprise!","ಎಂಥಾ ಸಂತೋಷದಾಯಕ ಆಶ್ಚರ್ಯ!","काय आनंददायक आश्चर्य!","என்ன ஒரு மகிழ்ச்சியான ஆச்சரியம்!"
p008,joy,"I feel so light and full of life!","ನನಗೆ ತುಂಬಾ ಹಗುರ ಮತ್ತು ಚೈತನ್ಯ ತುಂಬಿದ ಹಾಗೆ ಅನಿಸುತ್ತಿದೆ!","मला खूप हलके आणि उत्साही वाटते!","நான் மிகவும் லேசாகவும் உயிர்ச்சத்துடனும் உணர்கிறேன்!"
p009,joy,"This moment is pure perfection.","ಈ ಕ್ಷಣ ಶುದ್ಧ ಪರಿಪೂರ್ಣತೆ.","हा क्षण शुद्ध परिपूर्णता आहे.","இந்த தருணம் தூய பரிபூரணம்."
p010,joy,"I'm on cloud nine right now!","ನಾನು ಈಗ ಸಂತೋಷದ ಉತ್ತುಂಗದಲ್ಲಿದ್ದೇನೆ!","मी सध्या खूप आनंदात आहे!","நான் இப்போது மேகங்களின் மீது மிதக்கிறேன்!"
p011,trust,"I know I can always count on you.","ನಾನು ಯಾವಾಗಲೂ ನಿನ್ನನ್ನು ನಂಬಬಹುದು ಎಂದು ನನಗೆ ತಿಳಿದಿದೆ.","मला माहित आहे की मी तुझ्यावर नेहमीच अवलंबून राहू शकतो.","நான் எப்போதும் உன்னை நம்பலாம் என்று எனக்குத் தெரியும்."
p012,trust,"With you by my side, I feel safe.","ನೀನು ನನ್ನ ಪಕ್ಕದಲ್ಲಿರುವುದರಿಂದ, ನನಗೆ ಸುರಕ್ಷಿತವೆನಿಸುತ್ತದೆ.","तू माझ्या पाठीशी असल्याने मला सुरक्षित वाटते.","நீ என் அருகில் இருப்பதால், நான் பாதுகாப்பாக உணர்கிறேன்."
p013,trust,"I believe in you completely.","ನಾನು ನಿನ್ನನ್ನು ಸಂಪೂರ್ಣವಾಗಿ ನಂಬುತ್ತೇನೆ.","माझा तुझ्यावर पूर्ण विश्वास आहे.","நான் உன்னை முழுமையாக நம்புகிறேன்."
p014,trust,"You've never given me a reason to doubt.","ನೀನು ಸಂಶಯಿಸಲು ನನಗೆ ಎಂದಿಗೂ ಕಾರಣ ಕೊಟ್ಟಿಲ್ಲ.","तू मला शंका घेण्यास कधीच कारण दिलेले नाही.","சந்தேகப்பட நீ எனக்கு ஒருபோதும் காரணம் கொடுத்ததில்லை."
p015,trust,"My secret is safe with you.","ನನ್ನ ರಹಸ್ಯ ನಿನ್ನೊಂದಿಗೆ ಸುರಕ್ಷಿತವಾಗಿದೆ.","माझे रहस्य तुझ्याकडे सुरक्षित आहे.","என் ரகசியம் உன்னுடன் பாதுகாப்பாக உள்ளது."
p016,trust,"I have complete faith in your judgment.","ನಿನ್ನ ನಿರ್ಣಯದ ಮೇಲೆ ನನಗೆ ಸಂಪೂರ್ಣ ನಂಬಿಕೆ ಇದೆ.","माझा तुझ्या निर्णयावर पूर्ण विश्वास आहे.","உங்கள் தீர்ப்பில் எனக்கு முழு நம்பிக்கை உள்ளது."
p017,trust,"Your word is good enough for me.","ನಿನ್ನ ಮಾತು ನನಗೆ ಸಾಕು.","तुझा शब्द माझ्यासाठी पुरेसा आहे.","உங்கள் வார்த்தை எனக்குப் போதும்."
p018,trust,"I know you have my back.","ನೀನು ನನ್ನ ಬೆಂಬಲಕ್ಕೆ ಇದ್ದೀಯ ಎಂದು ನನಗೆ ತಿಳಿದಿದೆ.","मला माहित आहे की तू माझ्या पाठीशी आहेस.","நீங்கள் என் பின்னால் இருக்கிறீர்கள் என்று எனக்குத் தெரியும்."
p019,trust,"Your honesty is deeply appreciated.","ನಿಮ್ಮ ಪ್ರಾಮಾಣಿಕತೆಯನ್ನು ನಾನು ತುಂಬಾ ಮೆಚ್ಚುತ್ತೇನೆ.","तुमच्या प्रामाणिकपणाचे खूप कौतुक आहे.","உங்கள் நேர்மை ஆழ்ந்த பாராட்டிற்குரியது."
p020,trust,"I'll follow your lead on this.","ಈ ವಿಷಯದಲ್ಲಿ ನಾನು ನಿಮ್ಮನ್ನು ಅನುಸರಿಸುತ್ತೇನೆ.","या बाबतीत मी तुमचे नेतृत्व स्वीकारेन.","இதில் நான் உங்கள் வழியைப் பின்பற்றுவேன்."
p021,fear,"That sound is making my skin crawl.","ಆ ಶಬ್ದ ನನ್ನ ಮೈ ಜುಮ್ಮೆನಿಸುತ್ತಿದೆ.","त्या आवाजाने माझ्या अंगावर शहारे येत आहेत.","அந்த சத்தம் என் தோலை சிலிர்க்க வைக்கிறது."
p022,fear,"I have a terrible feeling about this place.","ಈ ಸ್ಥಳದ ಬಗ್ಗೆ ನನಗೆ ಕೆಟ್ಟ ಭಾವನೆ ಇದೆ.","मला या जागेबद्दल खूप वाईट वाटत आहे.","இந்த இடத்தைப் பற்றி எனக்கு ஒரு பயங்கரமான உணர்வு இருக்கிறது."
p023,fear,"Don't leave me alone in the dark!","ನನ್ನನ್ನು ಕತ್ತಲೆಯಲ್ಲಿ ಒಬ್ಬಂಟಿಯಾಗಿ ಬಿಡಬೇಡ!","मला अंधारात एकटे सोडू नको!","என்னை இருட்டில் தனியாக விட்டுவிடாதீர்கள்!"
p024,fear,"My heart is pounding with terror.","ನನ್ನ ಹೃದಯ ಭಯದಿಂದ ಬಡಿದುಕೊಳ್ಳುತ್ತಿದೆ.","माझे हृदय दहशतीने धडधडत आहे.","என் இதயம் பயத்தால் துடிக்கிறது."
